StartDate,EndDate,Progress,Duration__in_seconds_,Finished,Age,Edu,Race,Politics,PRegion,Region,SES,G,G_9_TEXT,FamRace,DispMC,ContMC,S1,S2,S3,S4,Attention,S5,S6,S7,S8,S9,N1,N2,N3,N4,N5,N6,N7,clean,wash,six,mask,closed,number,more,VaccineY,HaveCOVID,HadCOVID,MC1,MC2,MC3,MC4,MC5,MC6,VaccineIntention,MandatoryVaccine,PrivatizationSupport,PublicHealthInvest,HealthTaxIncrease,EmergencyAssistanceSupport,MR1,MR2,MR3,MR4,MR5,MR6,MR7,MR8,ID1,ID2,ID3,ID4,FL_18_DO_RacismCondition,FL_18_DO_Control,S2R,S4R,S6R,S7R,S9R,N5R,N6R,moreR,numberR,MC4R,MC5R,fullpriR,MR2R,ID1R,ID3R,Condition,Severity,Normalcy,HealthBehaviors,Disparities,ModRace,WhiteID
2/10/2021 5:44:54,2/10/2021 5:45:22,100,28,1,re,5,4,77,4,3,4,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 5:55:31,2/10/2021 5:56:48,100,77,1,40,5,5,50,5,5,2,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 5:56:11,2/10/2021 5:56:55,100,44,1,52,8,4,0,2,2,6,1, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 5:56:06,2/10/2021 5:57:06,100,60,1,61,8,4,30,1,5,4,0, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 5:56:49,2/10/2021 5:57:25,100,35,1,31,7,5,11,5,5,2,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 5:57:07,2/10/2021 5:57:44,100,36,1,35,8,4,90,5,5,3,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 5:56:19,2/10/2021 5:57:56,100,97,1,40,8,4,56,2,2,6,0, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 5:58:29,2/10/2021 5:59:00,100,31,1,28,8,4,50,3,3,5,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 5:58:46,2/10/2021 6:00:05,100,79,1,41,8,4,52,3,3,5,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 5:59:53,2/10/2021 6:01:12,100,78,1,35,8,4,51,5,5,6,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 6:00:16,2/10/2021 6:01:21,100,64,1,27,8,5,21,1,6,2,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 6:00:44,2/10/2021 6:01:37,100,53,1,30,8,4,49,5,5,6,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 6:01:02,2/10/2021 6:02:18,100,75,1,57,7,4,0,5,5,3,0, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 6:01:11,2/10/2021 6:02:26,100,75,1,41,8,4,47,3,3,5,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 5:57:43,2/10/2021 6:03:15,100,331,1,50,6,1,70,6,5,5,1, ,4, ,1,6,4,6,2,5,6,4,2,3,5,4,4,5,5,5,5,5,7,7,7,7,5,4,4,2,3,2,4,4,4,4,4,4,6,5,3,5,3,5,4,4,4,6,6,4,3,4,4,4,4,4, ,1,4,6,4,6,3,3,3,4,4,4,4,5,4,4,4,0,4.88888888888889,4.14285714285714,6,4,4.14285714285714,4
2/10/2021 6:02:38,2/10/2021 6:03:47,100,69,1,35,5,4,100,5,5,4,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
